1;Bogdan,Bogdan Corporation,Bogdan group;{"id":1,"name":"Bogdan","country":"Ukraine","production_spans":[{"start":2005}]}
2;AvtoVAZ,VAZ,Volzhsky Avtomobilny Zavod,Volga Automobile Plant;{"id":2,"name":"AvtoVAZ","country":"Russia","production_spans":[{"start":1966}]}
3;Gorkovsky Avtomobilny Zavod,GAZ,Gorky Automobile Plant;{"id":3,"name":"GAZ","country":"Russia","production_spans":[{"start":1932}]}
4;ZAZ,Zaporizhia Automobile Building Plant;{"id":4,"name":"ZAZ","country":"Ukraine","production_spans":[{"start":1863}]}
5;ZiL,Public Joint-Stock Company – Likhachov Plant,Likhachov Plant;{"id":5,"name":"ZiL","country":"Russia","production_spans":[{"start":1916,"end":2013}]}
6;Lada Izhevsk,Izh,IzhAvto;{"id":6,"name":"IzhAvto","country":"Russia","production_spans":[{"start":1965}]}
7;KAMAZ,Kama Automobile Plant,Kamskiy Avtomobilny Zavod;{"id":7,"name":"KAMAZ","country":"Russia","production_spans":[{"start":1969}]}
8;KIM;{"id":8,"name":"KIM","country":"Russia","production_spans":[{"start":1930,"end":2010}]}
9;KrAZ,Kremenchutskyi Avtomobilnyi Zavod,Kremenchuk Automobile Plant,AvtoKrAZ;{"id":9,"name":"KrAZ","country":"Ukraine","production_spans":[{"start":1958}]}
10;LuAZ,Lutskyi avtomobilnyi zavod,Lutsk automobile factory;{"id":10,"name":"LuAZ","country":"Ukraine","production_spans":[{"start":1951,"end":2000}]}
11;Minsk Automobile Plant,MAZ,Minskyi Avtomobilnyi Zavod;{"id":11,"name":"MAZ","country":"Belarus","production_spans":[{"start":1944}]}
12;MoAZ,Mogilev Automobile Plant;{"id":12,"name":"МоАЗ","country":"Belarus","production_spans":[{"start":1935}]}
13;Moskvitch;{"id":13,"name":"Moskvitch","country":"Russia","production_spans":[{"start":1930,"end":2010}]}
14;NAMI;{"id":14,"name":"Nami","country":"Russia","production_spans":[{"start":1918}]}
15;RAF,Riga Autobus Factory;{"id":15,"name":"RAF","country":"Latvia","production_spans":[{"start":1949,"end":1998}]}
16;SeAZ,Serpukhovsky Avtomobilny Zavod,Serpukhov Automobile Plant;{"id":16,"name":"SeAZ","country":"Russia","production_spans":[{"start":1939,"end":2013}]}
17;Tonar;{"id":17,"name":"Tonar","country":"Russia","production_spans":[{"start":1990}]}
18;UAZ,Ulianovsk Car Plant,Ulyanovsky Avtomobilny Zavod;{"id":18,"name":"UAZ","country":"Russia","production_spans":[{"start":1941}]}
19;Urals Automotive Plant,Uralskiy Avtomobilnyi Zavod,UralAZ,URAL;{"id":19,"name":"URAL","country":"Russia","production_spans":[{"start":1941}]}
20;YAZ;{"id":20,"name":"YAZ","country":"Russia","production_spans":[{"start":1916}]}
21;AC Cars,Auto Carriers Ltd,Auto Carriers;{"id":21,"name":"AC Cars","country":"United Kingdom","production_spans":[{"start":1902}]}
22;Acura;{"id":22,"name":"Acura","country":"Japan, United States of America","production_spans":[{"start":1986}]}
23;Adler;{"id":23,"name":"Adler","country":"Germany","production_spans":[{"start":1880,"end":1957}]}
24;Aero;{"id":24,"name":"Aero","country":"Czechoslovakia","production_spans":[{"start":1929,"end":1947}]}
25;AIL,Automotive Industries Ltd,Automotive Industries;{"id":25,"name":"AIL","country":"Israel","production_spans":[{"start":1966}]}
26;Alfa Romeo,Alfa Romeo Automobiles S.p.A.,Alfa;{"id":26,"name":"Alfa Romeo","country":"Italy","production_spans":[{"start":1910}]}
27;Alvis,Alvis Car and Engineering Company;{"id":27,"name":"Alvis","country":"United Kingdom","production_spans":[{"start":1919,"end":1967}]}
28;Amphicar;{"id":28,"name":"Amphicar","country":"Germany","production_spans":[{"start":1961,"end":1968}]}
29;Ansted;{"id":29,"name":"Ansted","country":"United States of America","production_spans":[{"start":1926,"end":1927}]}
30;Ariel,Ariel Motors;{"id":30,"name":"Ariel","country":"United Kingdom","production_spans":[{"start":2001}]}
