1;Bogdan 2310,2310;{"name":"Bogdan 2310","brand_id":1,"class":["Subcompact"],"body_style":["2-door van"],"chassis_configuration":"4 × 2","production_years":[{"start": 2009, "end": 2014}]}
2;2312,Bogdan 2312;{"name":"Bogdan 2312","brand_id":1,"class":["Subcompact"],"production_years":[{"start": 2012, "end": 2014}]}
3;VAZ 1111E,1111E;{"name":"VAZ 1111E","brand_id":2,"class":["Minicompact"],"body_style":["3-door hatchback"],"chassis_configuration":"4 × 2","production_years":[{"start": 1994}]}
4;Gnome,LADA Gnome;{"name":"LADA Gnome","brand_id":139,"class":["Subcompact"],"body_style":["3-door hatchback"],"chassis_configuration":"4 × 2","production_years":[{"start": 1992}]}
5;El'f,Elf,LADA Elf;{"name":"LADA Elf","brand_id":139,"class":["Subcompact"],"body_style":["2-door hatchback"],"chassis_configuration":"4 × 2","production_years":[{"start": 1991}]}
6;1801,VAZ-1801;{"name":"VAZ-1801","brand_id":2,"chassis_configuration":"4 × 2","production_years":[{"start": 1984}]}
7;kopejka,Lada 1200,Lada 1200S,2101,VAZ-2101 Zhiguli,Lada 1300;{"name":"VAZ-2101 Zhiguli","brand_id":146,"class":["Small I group"],"body_style":["4-door sedan"],"chassis_configuration":"4 × 2","production_years":[{"start": 1970, "end": 1988}]}
8;2102,Lada 1200 Kombi,Lada 1300 Kombi,Lada 1500 Kombi,VAZ-2102 Zhiguli;{"name":"VAZ-2102 Zhiguli","brand_id":146,"body_style":["5-door estate"],"chassis_configuration":"4 × 2","production_years":[{"start": 1971, "end": 1986}]}
9;2103,VAZ-2103 Zhiguli;{"name":"VAZ-2103 Zhiguli","brand_id":146,"class":["Small II group"],"body_style":["4-door sedan"],"chassis_configuration":"4 × 2","production_years":[{"start": 1972, "end": 1984}]}
10;Riva Break,Nova Combi,Estate,2104,Lada Estate,LADA 2104,Lada Nova Combi,Lada Riva Break;{"name":"Lada Nova Combi","brand_id":139,"class":["Small III group"],"body_style":["5-door estate"],"chassis_configuration":"4 × 2","production_years":[{"start": 1984, "end": 2012}]}
11;VAZ-2105 Zhiguli,LADA 2105,Klassika,2105,Lada Saloon;{"name":"VAZ-2105 Zhiguli","brand_id":146,"class":["Subcompact"],"body_style":["4-door sedan"],"production_years":[{"start": 1979, "end": 2010}]}
12;VAZ-2106,2106;{"name":"VAZ-2106","brand_id":2,"class":["Small III group"],"body_style":["4-door sedan"],"chassis_configuration":"4 × 2","production_years":[{"start": 1976, "end": 2006}]}
13;1500,Lada 1500,Lada Signet,LADA 2107,Nova,Lada Nova,Riva,Lada Riva,2107,Signet;{"name":"Lada Signet","brand_id":139,"class":["Small II group"],"body_style":["4-door sedan"],"chassis_configuration":"4 × 2","production_years":[{"start": 1982, "end": 1991}, {"start": 1991, "end": 2012}, {"start": 2003, "end": 2012}, {"start": 2006, "end": 2014}]}
14;VAZ-2108;{"name":"VAZ-2108","brand_id":2,"class":["Small II group"],"body_style":["3-door hatchback"],"chassis_configuration":"4 × 2 / 2","production_years":[{"start": 1984, "end": 2004}, {"start": 2004, "end": 2014}]}
15;VAZ-2109;{"name":"VAZ-2109","brand_id":2,"class":["Small II group"],"body_style":["5-door hatchback"],"chassis_configuration":"4 × 2","production_years":[{"start": 1987, "end": 2004}, {"start": 2004, "end": 2011}, {"start": 1991, "end": 1996}, {"start": 1995, "end": 1998}]}
16;LADA Samara,Samara,trinashka;{"name":"LADA Samara","brand_id":139,"class":["Subcompact"],"body_style":["3-door hatchback","5-door hatchback"],"production_years":[{"start": 2004, "end": 2013}, {"start": 2001, "end": 2013}]}
17;Samara-2,Lada Samara-2,pjatnashka;{"name":"Lada Samara-2","brand_id":139,"class":["Small II group"],"body_style":["4-door sedan"],"chassis_configuration":"4 × 2","production_years":[{"start": 1997, "end": 2012}]}
18;VAZ-2120,2120;{"name":"VAZ-2120","brand_id":2,"class":["Multi-Purpose Vehicle"],"body_style":["4-door minivan"],"chassis_configuration":"4 × 4","production_years":[{"start": 1998, "end": 2006}]}
19;2122,VAZ-2122 Reka,600,Reka;{"name":"VAZ-2122 Reka","brand_id":2,"body_style":["5-door hatchback"],"chassis_configuration":"4 × 4","production_years":[{"start": 1976, "end": 1987}]}
20;VAZ-2151 Neoklassika,2151,Neoklassika;{"name":"VAZ-2151 Neoklassika","brand_id":2,"class":["Subcompact"],"body_style":["5-door estate"],"production_years":[{"start": 2002}]}
21;VAZ-2801,2801;{"name":"VAZ-2801","brand_id":2,"chassis_configuration":"4 × 2","production_years":[{"start": 1975}]}
22;VAZ 2802-02,2802-02;{"name":"VAZ 2802-02","brand_id":2,"chassis_configuration":"4 × 2","production_years":[{"start": 1984}]}
23;VAZ-10031,10031,Brontokar;{"name":"VAZ-10031","brand_id":2,"chassis_configuration":"4 × 2","production_years":[{"start": 2002}]}
24;Diva,Samara,Sagona,Samara Saloon,VAZ-21099,Sputnik,Sable;{"name":"Samara Saloon","brand_id":2,"body_style":["4-door sedan"],"chassis_configuration":"4 × 2","production_years":[{"start": 1990, "end": 2004}, {"start": 2004, "end": 2011}]}
25;LADA Golf,Golf;{"name":"LADA Golf","brand_id":139,"class":["Golf car"],"chassis_configuration":"4 × 2","production_years":[{"start": 1999, "end": 2001}]}
26;LADA Carat,Carat,2161 "Karat",Lada-2161 "Karat";{"name":"Lada-2161 Karat","brand_id":139,"class":["Subcompact"],"body_style":["5-door hatchback"],"chassis_configuration":"4 × 2","production_years":[{"start": 2002}]}
27;Ricksha,LADA Ricksha;{"name":"LADA Ricksha","brand_id":139,"class":["Golf car"],"chassis_configuration":"4 × 2","production_years":[{"start": 2002}]}
28;Marsh-1,LADA-BRONTO 1922;{"name":"LADA-BRONTO 1922","brand_id":2,"class":["Off-road vehicle"],"body_style":["3-door estate"],"production_years":[{"start": 1996}]}
29;2131,VAZ-2131,Niva,Niva;{"name":"VAZ-2131","brand_id":2,"class":["Off-road vehicle"],"body_style":["3-door estate","5-door estate"],"chassis_configuration":"4 × 4","production_years":[{"start": 1977}]}
30;Kama,Tojma,VAZ-1111,Oka,Astro,Gnom;{"name":"VAZ-1111","brand_id":2,"class":["Minicompact"],"body_style":["3-door hatchback"],"chassis_configuration":"4 × 2","production_years":[{"start": 1987, "end": 2008}]}
31;Lada Oka 2,Oka 2;{"name":"Lada Oka 2","brand_id":139,"class":["Minicompact"],"body_style":["3-door hatchback"],"production_years":[{"start": 2003, "end": 2004}]}
32;VAZ-21236,21236;{"name":"VAZ-21236","brand_id":2,"class":["Off-road vehicle"],"body_style":["5-door off-road vehicle"],"chassis_configuration":"4 × 4","production_years":[{"start": 2002}]}
33;Datsun mi-DO;{"name":"Datsun mi-DO","brand_id":2,"body_style":["5-door hatchback"],"production_years":[{"start": 2015}]}
34;Datsun on-DO;{"name":"Datsun on-DO","brand_id":2,"body_style":["4-door sedan"],"production_years":[{"start": 2014}]}
35;LADA 2110,2110;{"name":"LADA 2110","brand_id":139,"class":["Subcompact"],"body_style":["4-door sedan"],"chassis_configuration":"4 × 2","production_years":[{"start": 1995, "end": 2009}]}
36;Ellada,LADA Ellada;{"name":"LADA Ellada","brand_id":139,"class":["Subcompact"],"body_style":["5-door estate"],"chassis_configuration":"4 × 2","production_years":[{"start": 2012, "end": 2013}]}
37;LADA Granta,Granta;{"name":"LADA Granta","brand_id":139,"body_style":["4-door sedan"],"chassis_configuration":"2 × 4","production_years":[{"start": 2011}]}
