1;Acid green;{"name":"Acid green","hex":"#B0BF1A","red":176,"green":191,"blue":26}
2;Aero blue;{"name":"Aero blue","hex":"#C9FFE5","red":201,"green":255,"blue":229}
3;Air Force Blue,RAF blue;{"name":"Air Force Blue","hex":"#5D8AA8","red":93,"green":138,"blue":168}
4;Air superiority blue;{"name":"Air superiority blue","hex":"#72A0C1","red":114,"green":160,"blue":193}
5;Alice blue;{"name":"Alice blue","hex":"#F0F8FF","red":240,"green":248,"blue":255}
6;Alloy orange;{"name":"Alloy orange","hex":"#C46210","red":196,"green":98,"blue":16}
7;Amaranth deep purple;{"name":"Amaranth deep purple","hex":"#9F2B68","red":159,"green":43,"blue":104}
8;Amaranth pink;{"name":"Amaranth pink","hex":"#F19CBB","red":241,"green":156,"blue":187}
9;Amaranth purple;{"name":"Amaranth purple","hex":"#AB274F","red":171,"green":39,"blue":79}
10;Amaranth red;{"name":"Amaranth red","hex":"#D3212D","red":211,"green":33,"blue":45}
11;Android green;{"name":"Android green","hex":"#A4C639","red":164,"green":198,"blue":57}
12;Antique brass;{"name":"Antique brass","hex":"#CD9575","red":205,"green":149,"blue":117}
13;Antique bronze;{"name":"Antique bronze","hex":"#665D1E","red":102,"green":93,"blue":30}
14;Antique fuchsia;{"name":"Antique fuchsia","hex":"#915C83","red":145,"green":92,"blue":131}
15;Antique ruby;{"name":"Antique ruby","hex":"#841B2D","red":132,"green":27,"blue":45}
16;Antique white;{"name":"Antique white","hex":"#FAEBD7","red":250,"green":235,"blue":215}
17;Apple green;{"name":"Apple green","hex":"#8DB600","red":141,"green":182,"blue":0}
18;Arctic lime;{"name":"Arctic lime","hex":"#D0FF14","red":208,"green":255,"blue":20}
19;Argentinian blue;{"name":"Argentinian blue","hex":"#6CB4EE","red":108,"green":180,"blue":238}
20;Army green;{"name":"Army green","hex":"#4B5320","red":75,"green":83,"blue":32}
21;Arylide yellow;{"name":"Arylide yellow","hex":"#E9D66B","red":233,"green":214,"blue":107}
22;Ash grey;{"name":"Ash grey","hex":"#B2BEB5","red":178,"green":190,"blue":181}
23;Aureolin;{"name":"Aureolin","hex":"#FDEE00","red":253,"green":238,"blue":0}
24;B'dazzled blue;{"name":"B'dazzled blue","hex":"#2E5894","red":46,"green":88,"blue":149}
25;Baby blue;{"name":"Baby blue","hex":"#89CFF0","red":137,"green":207,"blue":240}
26;Baby blue eyes;{"name":"Baby blue eyes","hex":"#A1CAF1","red":161,"green":202,"blue":241}
27;Baby pink;{"name":"Baby pink","hex":"#F4C2C2","red":244,"green":194,"blue":194}
28;Baker-Miller pink,Baker Miller pink;{"name":"Baker-Miller pink","hex":"#FF91AF","red":255,"green":145,"blue":175}
29;Banana yellow;{"name":"Banana yellow","hex":"#FFE135","red":255,"green":225,"blue":53}
30;Barbie pink;{"name":"Barbie pink","hex":"#E0218A","red":224,"green":33,"blue":138}
31;Barn red;{"name":"Barn red","hex":"#7C0A02","red":124,"green":10,"blue":2}
32;Battleship grey;{"name":"Battleship grey","hex":"#848482","red":132,"green":132,"blue":130}
33;Beau blue;{"name":"Beau blue","hex":"#BCD4E6","red":188,"green":212,"blue":230}
34;Beige;{"name":"Beige","hex":"#F5F5DC","red":245,"green":245,"blue":220}
35;Big dip o’ruby;{"name":"Big dip o’ruby","hex":"#9C2542","red":156,"green":37,"blue":66}
36;Bistre;{"name":"Bistre","hex":"#3D2B1F","red":61,"green":43,"blue":31}
37;Bistre brown;{"name":"Bistre brown","hex":"#967117","red":150,"green":113,"blue":23}
38;Black;{"name":"Black","hex":"#000000","red":0,"green":0,"blue":0}
39;Blast-off bronze,Blast off bronze;{"name":"Blast-off bronze","hex":"#A57164","red":165,"green":113,"blue":100}
40;Blizzard blue;{"name":"Blizzard blue","hex":"#ACE5EE","red":172,"green":229,"blue":238}
41;Blue;{"name":"Blue","hex":"#0000FF","red":0,"green":0,"blue":255}
42;Blue-gray,Blue gray;{"name":"Blue-gray","hex":"#6699CC","red":102,"green":153,"blue":204}
43;Blue-green,Blue green;{"name":"Blue-green","hex":"#0D98BA","red":13,"green":152,"blue":186}
