1;﻿Абрикосовый;{"name":"﻿Абрикосовый","hex":"#FBCEB1","red":251,"green":206,"blue":177}
2;Абрикосовый Крайола;{"name":"Абрикосовый Крайола","hex":"#FDD9B5","red":253,"green":217,"blue":181}
3;Агатовый серый;{"name":"Агатовый серый","hex":"#B5B8B1","red":181,"green":184,"blue":177}
4;Аквамариновый;{"name":"Аквамариновый","hex":"#7FFFD4","red":127,"green":255,"blue":212}
5;Аквамариновый Крайола;{"name":"Аквамариновый Крайола","hex":"#78DBE2","red":120,"green":219,"blue":226}
6;Ализариновый красный;{"name":"Ализариновый красный","hex":"#E32636","red":227,"green":38,"blue":54}
7;Алый;{"name":"Алый","hex":"#FF2400","red":255,"green":36,"blue":0}
8;Амарантово-пурпурный,Амарантово пурпурный;{"name":"Амарантово-пурпурный","hex":"#AB274F","red":171,"green":39,"blue":79}
9;Амарантово-розовый,Амарантово розовый;{"name":"Амарантово-розовый","hex":"#F19CBB","red":241,"green":156,"blue":187}
10;Амарантовый;{"name":"Амарантовый","hex":"#E52B50","red":229,"green":43,"blue":80}
11;Амарантовый глубоко-пурпурный,Амарантовый глубоко пурпурный;{"name":"Амарантовый глубоко-пурпурный","hex":"#9F2B68","red":159,"green":43,"blue":104}
12;Амарантовый маджента;{"name":"Амарантовый маджента","hex":"#ED3CCA","red":237,"green":60,"blue":202}
13;Амарантовый светло-вишневый,Амарантовый светло вишневый;{"name":"Амарантовый светло-вишневый","hex":"#CD2682","red":205,"green":38,"blue":130}
14;Американский розовый;{"name":"Американский розовый","hex":"#FF033E","red":255,"green":3,"blue":62}
15;Аметистовый;{"name":"Аметистовый","hex":"#9966CC","red":153,"green":102,"blue":204}
16;Античная латунь,античной латуни;{"name":"Античная латунь","hex":"#CD9575","red":205,"green":149,"blue":117}
17;Антрацитово-серый,Антрацитово серый;{"name":"Антрацитово-серый","hex":"#293133","red":41,"green":49,"blue":51}
18;Антрацитовый;{"name":"Антрацитовый","hex":"#464451","red":70,"green":68,"blue":81}
19;Аспидно-серый,Аспидно серый;{"name":"Аспидно-серый","hex":"#2F4F4F","red":47,"green":79,"blue":79}
20;Аспидно-синий,Аспидно синий;{"name":"Аспидно-синий","hex":"#6A5ACD","red":106,"green":90,"blue":205}
21;Базальтово-серый,Базальтово серый;{"name":"Базальтово-серый","hex":"#4E5754","red":78,"green":87,"blue":84}
22;Баклажанный Крайола;{"name":"Баклажанный Крайола","hex":"#614051","red":97,"green":64,"blue":81}
23;Баклажановый;{"name":"Баклажановый","hex":"#990066","red":153,"green":0,"blue":102}
24;Баклажановый Крайола;{"name":"Баклажановый Крайола","hex":"#6E5160","red":110,"green":81,"blue":96}
25;Бананомания;{"name":"Бананомания","hex":"#FAE7B5","red":250,"green":231,"blue":181}
26;Перванш;{"name":"Перванш","hex":"#CCCCFF","red":204,"green":204,"blue":255}
27;Барвинок Крайола;{"name":"Барвинок Крайола","hex":"#C5D0E6","red":197,"green":208,"blue":230}
28;Бедра испуганной нимфы;{"name":"Бедра испуганной нимфы","hex":"#FAEEDD","red":250,"green":238,"blue":221}
29;Бежево-коричневый,Бежево коричневый;{"name":"Бежево-коричневый","hex":"#79553D","red":121,"green":85,"blue":61}
30;Бежево-красный,Бежево красный;{"name":"Бежево-красный","hex":"#C1876B","red":193,"green":135,"blue":107}
31;Бежево-серый,Бежево серый;{"name":"Бежево-серый","hex":"#6D6552","red":109,"green":101,"blue":82}
32;Бежевый;{"name":"Бежевый","hex":"#F5F5DC","red":245,"green":245,"blue":220}
33;Бело-алюминиевый,Бело алюминиевый;{"name":"Бело-алюминиевый","hex":"#A5A5A5","red":165,"green":165,"blue":165}
34;Бело-зеленый,Бело зеленый;{"name":"Бело-зеленый","hex":"#BDECB6","red":189,"green":236,"blue":182}
35;Белоснежный;{"name":"Белоснежный","hex":"#FFFAFA","red":255,"green":250,"blue":250}
36;Белый;{"name":"Белый","hex":"#FFFFFF","red":255,"green":255,"blue":255}
37;Белый антик;{"name":"Белый антик","hex":"#FAEBD7","red":250,"green":235,"blue":215}
38;Белый навахо;{"name":"Белый навахо","hex":"#FFDEAD","red":255,"green":222,"blue":173}
39;Берлинская лазурь;{"name":"Берлинская лазурь","hex":"#003153","red":0,"green":49,"blue":83}
40;Бирюзово-голубой Крайола,Бирюзово голубой Крайола;{"name":"Бирюзово-голубой Крайола","hex":"#77DDE7","red":119,"green":221,"blue":231}
41;Бирюзово-зеленый,Бирюзово зеленый;{"name":"Бирюзово-зеленый","hex":"#1E5945","red":30,"green":89,"blue":69}
42;Бирюзово-синий,Бирюзово синий;{"name":"Бирюзово-синий","hex":"#3F888F","red":63,"green":136,"blue":143}
43;Бирюзовый;{"name":"Бирюзовый","hex":"#30D5C8","red":48,"green":213,"blue":200}
44;Бисквитный;{"name":"Бисквитный","hex":"#FFE4C4","red":255,"green":228,"blue":196}
45;Бисмарк-фуриозо,Бисмарк фуриозо;{"name":"Бисмарк-фуриозо","hex":"#A5260A","red":165,"green":38,"blue":10}
46;Бистр;{"name":"Бистр","hex":"#3D2B1F","red":61,"green":43,"blue":31}
47;Бледно-васильковый,Бледно васильковый;{"name":"Бледно-васильковый","hex":"#ABCDEF","red":171,"green":205,"blue":239}
48;Бледно-желтый,Бледно желтый;{"name":"Бледно-желтый","hex":"#FFDB8B","red":255,"green":219,"blue":139}
49;Бледно-зелено-серый,Бледно зелено серый;{"name":"Бледно-зелено-серый","hex":"#8D917A","red":141,"green":145,"blue":122}
50;Бледно-зеленый,Бледно зеленый;{"name":"Бледно-зеленый","hex":"#89AC76","red":137,"green":172,"blue":118}
51;Бледно-золотистый,Бледно золотистый;{"name":"Бледно-золотистый","hex":"#EEE8AA","red":238,"green":232,"blue":170}
52;Бледно-карминный,Бледно карминный;{"name":"Бледно-карминный","hex":"#B03F35","red":176,"green":63,"blue":53}
53;Бледно-каштановый,Бледно каштановый;{"name":"Бледно-каштановый","hex":"#DDADAF","red":221,"green":173,"blue":175}
54;Бледно-коричневый,Бледно коричневый;{"name":"Бледно-коричневый","hex":"#755C48","red":117,"green":92,"blue":72}
55;Бледно-песочный,Бледно песочный;{"name":"Бледно-песочный","hex":"#DABDAB","red":218,"green":189,"blue":171}
56;Бледно-пурпурный,Бледно пурпурный;{"name":"Бледно-пурпурный","hex":"#F984E5","red":249,"green":132,"blue":229}
57;Бледно-розоватый,Бледно розоватый;{"name":"Бледно-розоватый","hex":"#FFCBDB","red":255,"green":203,"blue":219}
58;Бледно-розовый,Бледно розовый;{"name":"Бледно-розовый","hex":"#FADADD","red":250,"green":218,"blue":221}
59;Бледно-синий,Бледно синий;{"name":"Бледно-синий","hex":"#AFEEEE","red":175,"green":238,"blue":238}
60;Бледно-фиолетовый,Бледно фиолетовый;{"name":"Бледно-фиолетовый","hex":"#957B8D","red":149,"green":123,"blue":141}
61;Бледный весенний бутон;{"name":"Бледный весенний бутон","hex":"#ECEBBD","red":236,"green":235,"blue":189}
62;Бледный желто-зеленый,Бледный желто зеленый;{"name":"Бледный желто-зеленый","hex":"#F0D698","red":240,"green":214,"blue":152}
63;Бледный желто-розовый,Бледный желто розовый;{"name":"Бледный желто-розовый","hex":"#FFC8A8","red":255,"green":200,"blue":168}
64;Бледный зеленовато-желтый,Бледный зеленовато желтый;{"name":"Бледный зеленовато-желтый","hex":"#FFDF84","red":255,"green":223,"blue":132}
65;Бледный зеленый;{"name":"Бледный зеленый","hex":"#98FB98","red":152,"green":251,"blue":152}
66;Бледный красно-пурпурный,Бледный красно пурпурный;{"name":"Бледный красно-пурпурный","hex":"#AC7580","red":172,"green":117,"blue":128}
67;Бледный оранжево-желтый,Бледный оранжево желтый;{"name":"Бледный оранжево-желтый","hex":"#FFCA86","red":255,"green":202,"blue":134}
68;Бледный пурпурно-розовый,Бледный пурпурно розовый;{"name":"Бледный пурпурно-розовый","hex":"#FDBDBA","red":253,"green":189,"blue":186}
69;Бледный пурпурно-синий,Бледный пурпурно синий;{"name":"Бледный пурпурно-синий","hex":"#8A7F8E","red":138,"green":127,"blue":142}
70;Бледный серо-коричневый,Бледный серо коричневый;{"name":"Бледный серо-коричневый","hex":"#BC987E","red":188,"green":152,"blue":126}
71;Бледный синий;{"name":"Бледный синий","hex":"#919192","red":145,"green":145,"blue":146}
72;Бледный фиолетово-красный,Бледный фиолетово красный;{"name":"Бледный фиолетово-красный","hex":"#D87093","red":216,"green":112,"blue":147}
73;Блестящий желто-зеленый,Блестящий желто зеленый;{"name":"Блестящий желто-зеленый","hex":"#CED23A","red":206,"green":210,"blue":58}
74;Блестящий желтовато-зеленый,Блестящий желтовато зеленый;{"name":"Блестящий желтовато-зеленый","hex":"#8CCB5E","red":140,"green":203,"blue":94}
75;Блестящий желтый;{"name":"Блестящий желтый","hex":"#FFCF40","red":255,"green":207,"blue":64}
76;Блестящий зеленовато-желтый,Блестящий зеленовато желтый;{"name":"Блестящий зеленовато-желтый","hex":"#FFDC33","red":255,"green":220,"blue":51}
77;Блестящий зеленовато-синий,Блестящий зеленовато синий;{"name":"Блестящий зеленовато-синий","hex":"#2A8D9C","red":42,"green":141,"blue":156}
78;Блестящий зеленый;{"name":"Блестящий зеленый","hex":"#47A76A","red":71,"green":167,"blue":106}
79;Блестящий оранжевый;{"name":"Блестящий оранжевый","hex":"#FFB841","red":255,"green":184,"blue":65}
80;Блестящий пурпурно-розовый,Блестящий пурпурно розовый;{"name":"Блестящий пурпурно-розовый","hex":"#FF97BB","red":255,"green":151,"blue":187}
81;Блестящий пурпурно-синий,Блестящий пурпурно синий;{"name":"Блестящий пурпурно-синий","hex":"#62639B","red":98,"green":99,"blue":155}
82;Блестящий пурпурный;{"name":"Блестящий пурпурный","hex":"#DD80CC","red":221,"green":128,"blue":204}
83;Блестящий синевато-зеленый,Блестящий синевато зеленый;{"name":"Блестящий синевато-зеленый","hex":"#009B76","red":0,"green":155,"blue":118}
84;Блестящий синий;{"name":"Блестящий синий","hex":"#4285B4","red":66,"green":133,"blue":180}
85;Блестящий фиолетовый;{"name":"Блестящий фиолетовый","hex":"#755D9A","red":117,"green":93,"blue":154}
86;Красновато-коричневый,Красновато коричневый;{"name":"Красновато-коричневый","hex":"#755A57","red":117,"green":90,"blue":87}
87;Болгарский розовый;{"name":"Болгарский розовый","hex":"#480607","red":72,"green":6,"blue":7}
88;Болотный;{"name":"Болотный","hex":"#ACB78E","red":172,"green":183,"blue":142}
89;Бордо,Красно-бордовый,Красно бордовый;{"name":"Бордо","hex":"#B00000","red":176,"green":0,"blue":0}
90;Бордово-фиолетовый,Бордово фиолетовый;{"name":"Бордово-фиолетовый","hex":"#641C34","red":100,"green":28,"blue":52}
91;Бордовый;{"name":"Бордовый","hex":"#9B2D30","red":155,"green":45,"blue":48}
92;Бороды Абдель-Керима,Бороды Абдель Керима;{"name":"Бороды Абдель-Керима","hex":"#D5D5D5","red":213,"green":213,"blue":213}
93;Брезентово-серый,Брезентово серый;{"name":"Брезентово-серый","hex":"#4C514A","red":76,"green":81,"blue":74}
94;Бриллиантово-синий,Бриллиантово синий;{"name":"Бриллиантово-синий","hex":"#3E5F8A","red":62,"green":95,"blue":138}
95;Бриллиантовый оранжево-желтый,Бриллиантовый оранжево желтый;{"name":"Бриллиантовый оранжево-желтый","hex":"#FFB02E","red":255,"green":176,"blue":46}
96;Бронзовый;{"name":"Бронзовый","hex":"#CD7F32","red":205,"green":127,"blue":50}
97;Бургундский;{"name":"Бургундский","hex":"#900020","red":144,"green":0,"blue":32}
98;Бурый;{"name":"Бурый","hex":"#45161C","red":69,"green":22,"blue":28}
99;Бутылочно-зеленый,Бутылочно зеленый;{"name":"Бутылочно-зеленый","hex":"#343B29","red":52,"green":59,"blue":41}
100;Ванильный;{"name":"Ванильный","hex":"#D5713F","red":213,"green":113,"blue":63}
101;Васильковый;{"name":"Васильковый","hex":"#6495ED","red":100,"green":149,"blue":237}
102;Васильковый Крайола;{"name":"Васильковый Крайола","hex":"#9ACEEB","red":154,"green":206,"blue":235}
103;Вердепешевый;{"name":"Вердепешевый","hex":"#DAD871","red":218,"green":216,"blue":113}
104;Вердепомовый,вердепомового;{"name":"Вердепомовый","hex":"#34C924","red":52,"green":201,"blue":36}
105;Вересково-фиолетовый,Вересково фиолетовый;{"name":"Вересково-фиолетовый","hex":"#DE4C8A","red":222,"green":76,"blue":138}
106;Весенне-зеленый,Весенне зеленый;{"name":"Весенне-зеленый","hex":"#00FF7F","red":0,"green":255,"blue":127}
107;Весенне-зеленый Крайола,Весенне зеленый Крайола;{"name":"Весенне-зеленый Крайола","hex":"#ECEABE","red":236,"green":234,"blue":190}
