0;государственный симфонический оркестр госкино ссср;{"title": "Государственный симфонический оркестр Госкино СССР"}
1;государственный симфонический оркестр кинематографии;{"title": "Государственный симфонический оркестр кинематографии СССР"}
2;государственный симфонический оркестр ссср;{"title": "Государственный академический симфонический оркестр СССР"}
3;градусы;{"title": "Градусы"}
4;григорий лепс,лепс,лепса;{"title": "Григорий Лепс"}
5;грин дей,грин дэй,грины,Green Day;{"title": "Green Day"}
6;гриша ургант,ургант,урганта;{"title": "Гриша Ургант"}
7;дафт панк,Daft Punk;{"title": "Daft Punk"}
8;ддт;{"title": "ДДТ"}
9;денис мацуев,мацуев,мацуева,Denis Matsuev;{"title": "Denis Matsuev"}
10;депеш мод,депешмод,Depeche Mode;{"title": "Depeche Mode"}
11;джастин бибер,джастина бибера,Justin Bieber,Bieber;{"title": "Justin Bieber"}
12;джастин тимберлейк,джастина тимберлейка,джастин,тимберлейк,Justin Timberlake,Timberlake;{"title": "Justin Timberlake"}
13;дженнифер лопез,дженнифер лопес,лопес,лопез,Jennifer Lopez;{"title": "Jennifer Lopez"}
14;джими хендрикс,хендрикс,хендрикса,джимми хендрикса,Jimi Hendrix;{"title": "Jimi Hendrix"}
15;джон леннон,леннон,джона леннона,леннона,John Lennon;{"title": "John Lennon"}
16;диана арбенина,арбенина,арбенину,ночные снайперы,ночных снайперов;{"title": "Диана Арбенина"}
17;диана гурцкая,гурцкая,гурцкую,Diana Gurtskaja;{"title": "Diana Gurtskaja"}
18;дима билан,билан,билана;{"title": "Дима Билан"}
19;дип перпл,дип пепл,пепл,Deep Purple;{"title": "Deep Purple"}
20;дискотека авария,дискотеку аварию;{"title": "Дискотека Авария"}
21;дмитрий бикбаев,бикбаев,бикбаева;{"title": "Дмитрий Бикбаев"}
22;дмитрий колдун,колдун,колдуна;{"title": "Дмитрий Колдун"}
23;дмитрий маликов,маликов,маликова;{"title": "Дмитрий Маликов"}
24;дмитрий певцов,певцов,певцова;{"title": "Дмитрий Певцов"}
25;дмитрий харатьян,харатьян,харатьяна;{"title": "Дмитрий Харатьян"}
26;дмитрий хворостовский,хворостовский,хворостовского;{"title": "Дмитрий Хворостовский"}
27;дмитрий шостакович,шостакович,шостаковича;{"title": "Дмитрий Шостакович"}
28;дэвид гуета,дэвида гуету,дэвида гуй эта,дэвида гуй эту,David Guetta;{"title": "David Guetta"}
29;ева польна,еву польну;{"title": "Ева Польна"}
30;евгений дога;{"title": "Инструментальный Ансамбль Евгения Доги"}
31;евгений дятлов,дятлова,дятлов;{"title": "Евгений Дятлов"}
32;евгений крылатов,крылатов,крылатова;{"title": "Евгений Крылатов"}
33;егор крид,егора крида;{"title": "Егор Крид"}
34;егор крид,крида;{"title": "Егор Крид"}
35;елена темникова,темникова,темникову;{"title": "Елена Темникова"}
36;елена терлеева,терлеева,терлееву;{"title": "Елена Терлеева"}
37;елка,елку,Elka;{"title": "Elka (Елка)"}
38;жанна фриске,жанну фриске,фриске;{"title": "Жанна Фриске"}
39;женя любич,любич;{"title": "Женя Любич"}
40;звери,зверей;{"title": "Звери"}
41;звуки му;{"title": "Звуки Му"}
42;зе битлз,битлз,битлы,The Beatles;{"title": "The Beatles"}
43;земляне;{"title": "Земляне"}
44;земфира,земфиру;{"title": "Земфира"}
