1;United Arab Emirates;{"name":"United Arab Emirates", "duplicateName" : "false", "currency":"AED"}
2;Nigeria;{"name":"Nigeria", "duplicateName" : "false", "currency":"NGN"}
3;Ethiopia;{"name":"Ethiopia", "duplicateName" : "false", "currency":"ETB"}
4;Ghana;{"name":"Ghana", "duplicateName" : "false", "currency":"GHS"}
5;Algeria;{"name":"Algeria", "duplicateName" : "true", "currency":"DZD"}
6;Jordan;{"name":"Jordan", "duplicateName" : "false", "currency":"JOD"}
7;Netherlands, Holland;{"name":"Netherlands", "duplicateName" : "false", "currency":"EUR"}
8;Andorra;{"name":"Andorra", "duplicateName" : "false", "currency":"EUR"}
9;Turkey;{"name":"Turkey", "duplicateName" : "false", "currency":"TRY"}
10;Madagascar;{"name":"Madagascar", "duplicateName" : "false", "currency":"MGA"}
11;Samoa;{"name":"Samoa", "duplicateName" : "false", "currency":"USD"}
12;Eritrea;{"name":"Eritrea", "duplicateName" : "false", "currency":"ERN"}
13;Kazakhstan;{"name":"Kazakhstan", "duplicateName" : "false", "currency":"KZT"}
14;Paraguay;{"name":"Paraguay", "duplicateName" : "false", "currency":"PYG"}
15;Greece;{"name":"Greece", "duplicateName" : "false", "currency":"EUR"}
16;Turkmenistan;{"name":"Turkmenistan", "duplicateName" : "false", "currency":"TMT"}
17;Iraq;{"name":"Iraq", "duplicateName" : "false", "currency":"IQD"}
18;Azerbaijan;{"name":"Azerbaijan", "duplicateName" : "false", "currency":"AZN"}
19;Mali;{"name":"Mali", "duplicateName" : "false", "currency":"XOF"}
20;Central African Republic, CAR;{"name":"Central African Republic", "duplicateName" : "false", "currency":"XAF"}
21;Thailand;{"name":"Thailand", "duplicateName" : "false", "currency":"THB"}
22;Brunei;{"name":"Brunei", "duplicateName" : "false", "currency":"BND"}
23;Gambia;{"name":"Gambia", "duplicateName" : "false", "currency":"GMD"}
24;Saint Kitts and Nevis;{"name":"Saint Kitts and Nevis", "duplicateName" : "false", "currency":"XCD"}
25;Lebanon;{"name":"Lebanon", "duplicateName" : "false", "currency":"LBP"}
26;Serbia;{"name":"Serbia", "duplicateName" : "false", "currency":"RSD"}
27;Belize;{"name":"Belize", "duplicateName" : "false", "currency":"BZD"}
28;Germany;{"name":"Germany", "duplicateName" : "false", "currency":"EUR"}
29;Switzerland;{"name":"Switzerland", "duplicateName" : "false", "currency":"CHF"}
30;Guinea-Bissau;{"name":"Guinea-Bissau", "duplicateName" : "false", "currency":"XOF"}
31;Kyrgyzstan;{"name":"Kyrgyzstan", "duplicateName" : "false", "currency":"KGS"}
32;Colombia;{"name":"Colombia", "duplicateName" : "false", "currency":"COP"}
33;Republic of the Congo, Congo;{"name":"Republic of the Congo", "duplicateName" : "false", "currency":"XAF"}
34;Brazil;{"name":"Brazil", "duplicateName" : "false", "currency":"BRL"}
35;Slovakia;{"name":"Slovakia", "duplicateName" : "false", "currency":"EUR"}
36;Barbados;{"name":"Barbados", "duplicateName" : "false", "currency":"BBD"}
37;Belgium;{"name":"Belgium", "duplicateName" : "false", "currency":"EUR"}
38;Hungary;{"name":"Hungary", "duplicateName" : "false", "currency":"HUF"}
39;Burundi;{"name":"Burundi", "duplicateName" : "false", "currency":"BIF"}
