1;Объединённые Арабские Эмираты,ОАЭ;{"name":"Объединённые Арабские Эмираты","genName":"Объединённых Арабских Эмиратов", "duplicateName" : "false" , "currency":"AED"}
2;Нигерия;{"name":"Нигерия","genName":"Нигерии", "duplicateName" : "false" , "currency":"NGN"}
3;Эфиопия;{"name":"Эфиопия","genName":"Эфиопии", "duplicateName" : "false" , "currency":"ETB"}
4;Гана;{"name":"Гана","genName":"Ганы", "duplicateName" : "false" , "currency":"GHS"}
5;Алжир;{"name":"Алжир","genName":"Алжира", "duplicateName" : "true" , "currency":"DZD"}
6;Иордания;{"name":"Иордания","genName":"Иордании", "duplicateName" : "false" , "currency":"JOD"}
7;Нидерланды,Голландия;{"name":"Нидерланды","genName":"Нидерландов", "duplicateName" : "false" , "currency":"EUR"}
8;Андорра;{"name":"Андорра","genName":"Андорры", "duplicateName" : "false" , "currency":"EUR"}
9;Турция;{"name":"Турция","genName":"Турции", "duplicateName" : "false" , "currency":"TRY"}
10;Мадагаскар;{"name":"Мадагаскар","genName":"Мадагаскара", "duplicateName" : "false" , "currency":"MGA"}
11;Самоа;{"name":"Самоа","genName":"Самоа", "duplicateName" : "false" , "currency":"USD"}
12;Эритрея;{"name":"Эритрея","genName":"Эритреи", "duplicateName" : "false" , "currency":"ERN"}
13;Казахстан;{"name":"Казахстан","genName":"Казахстана", "duplicateName" : "false" , "currency":"KZT"}
14;Парагвай;{"name":"Парагвай","genName":"Парагвая", "duplicateName" : "false" , "currency":"PYG"}
15;Греция;{"name":"Греция","genName":"Греции", "duplicateName" : "false" , "currency":"EUR"}
16;Туркмения;{"name":"Туркмения","genName":"Туркмении", "duplicateName" : "false" , "currency":"TMT"}
17;Ирак;{"name":"Ирак","genName":"Ирака", "duplicateName" : "false" , "currency":"IQD"}
18;Азербайджан;{"name":"Азербайджан","genName":"Азербайджана", "duplicateName" : "false" , "currency":"AZN"}
