1;1347 Property Insurance Holdings,PIH;{"symbol":"PIH","name":"1347 Property Insurance Holdings, Inc.","marketCap":"$49.14M","ipoYear":"2014","sector":"Finance","industry":"Property-Casualty Insurers"}
2;180 Degree Capital Corp.,TURN;{"symbol":"TURN","name":"180 Degree Capital Corp.","marketCap":"$48.86M","ipoYear":"n/a","sector":"Finance","industry":"Finance/Investors Services"}
3;1-800 FLOWERS.COM,FLWS;{"symbol":"FLWS","name":"1-800 FLOWERS.COM, Inc.","marketCap":"$640.28M","ipoYear":"1999","sector":"Consumer Services","industry":"Other Specialty Stores"}
4;1st Constitution Bancorp (NJ),FCCY;{"symbol":"FCCY","name":"1st Constitution Bancorp (NJ)","marketCap":"$138.67M","ipoYear":"n/a","sector":"Finance","industry":"Savings Institutions"}
5;1st Source Corporation,SRCE;{"symbol":"SRCE","name":"1st Source Corporation","marketCap":"$1.23B","ipoYear":"n/a","sector":"Finance","industry":"Major Banks"}
6;21Vianet Group,VNET;{"symbol":"VNET","name":"21Vianet Group, Inc.","marketCap":"$616.4M","ipoYear":"2011","sector":"Technology","industry":"Computer Software: Programming, Data Processing"}
7;2U,TWOU;{"symbol":"TWOU","name":"2U, Inc.","marketCap":"$2.24B","ipoYear":"2014","sector":"Technology","industry":"Computer Software: Prepackaged Software"}
8;51job,JOBS;{"symbol":"JOBS","name":"51job, Inc.","marketCap":"$2.78B","ipoYear":"2004","sector":"Technology","industry":"Diversified Commercial Services"}
9;8point3 Energy Partners LP,CAFD;{"symbol":"CAFD","name":"8point3 Energy Partners LP","marketCap":"$1.18B","ipoYear":"2015","sector":"Public Utilities","industry":"Electric Utilities: Central"}
10;8x8,EGHT;{"symbol":"EGHT","name":"8x8 Inc","marketCap":"$1.34B","ipoYear":"n/a","sector":"Public Utilities","industry":"Telecommunications Equipment"}
11;A V Homes,AVHI;{"symbol":"AVHI","name":"A V Homes, Inc.","marketCap":"$438.74M","ipoYear":"n/a","sector":"Capital Goods","industry":"Homebuilding"}
12;A. Schulman,SHLM;{"symbol":"SHLM","name":"A. Schulman, Inc.","marketCap":"$810.89M","ipoYear":"1972","sector":"Basic Industries","industry":"Major Chemicals"}
13;AAON,AAON;{"symbol":"AAON","name":"AAON, Inc.","marketCap":"$1.88B","ipoYear":"n/a","sector":"Capital Goods","industry":"Industrial Machinery/Components"}
14;ABAXIS,ABAX;{"symbol":"ABAX","name":"ABAXIS, Inc.","marketCap":"$1.2B","ipoYear":"1992","sector":"Capital Goods","industry":"Industrial Machinery/Components"}
15;Abeona Therapeutics,ABEO;{"symbol":"ABEO","name":"Abeona Therapeutics Inc.","marketCap":"$249.58M","ipoYear":"n/a","sector":"Health Care","industry":"Major Pharmaceuticals"}
16;Abeona Therapeutics,ABEOW;{"symbol":"ABEOW","name":"Abeona Therapeutics Inc.","marketCap":"n/a","ipoYear":"n/a","sector":"Health Care","industry":"Major Pharmaceuticals"}
17;Ability,ABIL;{"symbol":"ABIL","name":"Ability Inc.","marketCap":"$34.63M","ipoYear":"2014","sector":"Finance","industry":"Business Services"}
18;ABIOMED,ABMD;{"symbol":"ABMD","name":"ABIOMED, Inc.","marketCap":"$6.16B","ipoYear":"n/a","sector":"Health Care","industry":"Medical/Dental Instruments"}
19;Abraxas Petroleum Corporation,AXAS;{"symbol":"AXAS","name":"Abraxas Petroleum Corporation","marketCap":"$249.05M","ipoYear":"n/a","sector":"Energy","industry":"Oil & Gas Production"}
20;AC Immune SA,ACIU;{"symbol":"ACIU","name":"AC Immune SA","marketCap":"$531.65M","ipoYear":"2016","sector":"Health Care","industry":"Major Pharmaceuticals"}
21;Acacia Communications,ACIA;{"symbol":"ACIA","name":"Acacia Communications, Inc.","marketCap":"$1.61B","ipoYear":"2016","sector":"Technology","industry":"Semiconductors"}
22;Acacia Research Corporation,ACTG;{"symbol":"ACTG","name":"Acacia Research Corporation","marketCap":"$222.59M","ipoYear":"n/a","sector":"Miscellaneous","industry":"Multi-Sector Companies"}
23;Acadia Healthcare Company,ACHC;{"symbol":"ACHC","name":"Acadia Healthcare Company, Inc.","marketCap":"$4.18B","ipoYear":"n/a","sector":"Health Care","industry":"Medical Specialities"}
24;ACADIA Pharmaceuticals,ACAD;{"symbol":"ACAD","name":"ACADIA Pharmaceuticals Inc.","marketCap":"$3.37B","ipoYear":"2004","sector":"Health Care","industry":"Major Pharmaceuticals"}
25;Acasti Pharma,ACST;{"symbol":"ACST","name":"Acasti Pharma, Inc.","marketCap":"$18.68M","ipoYear":"n/a","sector":"Health Care","industry":"Major Pharmaceuticals"}
