1;кошка,кот;{"title":"кошка","genTitle":"кошки","female":"кошка","male":"кот","otherTitles":"кот*","young":"котёнок","genYoung":"котёнка","savagery":"домашнее","class":"зверь","numExtremities":"4","extremities":"лап","coating":"шерсть","wings":"","fins":"","horns":"","hoof":"","penny":"","trunk":"","tusks":"","employment":"мяукает и мурлыкает"}
2;собака,пес;{"title":"собака","genTitle":"собаки","female":"собака","male":"","otherTitles":"пес, собач*","young":"щенок","genYoung":"щенка","savagery":"домашнее","class":"зверь","numExtremities":"4","extremities":"лап","coating":"шерсть","wings":"","fins":"","horns":"","hoof":"","penny":"","trunk":"","tusks":"","employment":"лает и дом стережет"}
3;мышь,мышка;{"title":"мышь","genTitle":"мыши","female":"мышь","male":"","otherTitles":"мышка","young":"мышонок","genYoung":"мышонка","savagery":"дикое","class":"зверь","numExtremities":"4","extremities":"лап","coating":"шерсть","wings":"","fins":"","horns":"","hoof":"","penny":"","trunk":"","tusks":"","employment":"живет в норке"}
4;крыса;{"title":"крыса","genTitle":"крысы","female":"крыса","male":"","otherTitles":"","young":"крысенок","genYoung":"крысенка","savagery":"","class":"зверь","numExtremities":"4","extremities":"лап","coating":"шерсть","wings":"","fins":"","horns":"","hoof":"","penny":"","trunk":"","tusks":"","employment":""}
5;корова,бык;{"title":"корова","genTitle":"коровы","female":"корова","male":"бык","otherTitles":"","young":"теленок","genYoung":"теленка","savagery":"домашнее","class":"зверь","numExtremities":"4","extremities":"ног","coating":"","wings":"","fins":"","horns":"да","hoof":"да","penny":"","trunk":"","tusks":"","employment":"мычит и дает молоко"}
6;овца,баран;{"title":"овца","genTitle":"овцы","female":"овца","male":"баран","otherTitles":"","young":"ягненок","genYoung":"ягненка","savagery":"домашнее","class":"зверь","numExtremities":"4","extremities":"ног","coating":"шерсть","wings":"","fins":"","horns":"да","hoof":"да","penny":"","trunk":"","tusks":"","employment":"дает шерсть и блеет"}
7;коза,козел,козочка, козлик;{"title":"коза","genTitle":"козы","female":"коза","male":"козел","otherTitles":"козочка, козлик","young":"козленок","genYoung":"козленка","savagery":"домашнее","class":"зверь","numExtremities":"4","extremities":"ног","coating":"шерсть","wings":"","fins":"","horns":"да","hoof":"да","penny":"","trunk":"","tusks":"","employment":"дает шерсть и молоко"}
8;свинья,свинка;{"title":"свинья","genTitle":"свиньи","female":"свинья","male":"","otherTitles":"","young":"поросенок","genYoung":"поросенка","savagery":"домашнее","class":"зверь","numExtremities":"4","extremities":"ног","coating":"","wings":"","fins":"","horns":"","hoof":"да","penny":"да","trunk":"","tusks":"","employment":"хрюкает и визжит"}
9;лошадь,жеребец,конь, лошадка;{"title":"лошадь","genTitle":"лошади","female":"лошадь","male":"конь","otherTitles":"жеребец","young":"жеребенок","genYoung":"жеребенка","savagery":"","class":"зверь","numExtremities":"4","extremities":"ног","coating":"","wings":"","fins":"","horns":"","hoof":"да","penny":"","trunk":"","tusks":"","employment":"возит людей и грузы"}
10;наседка,курица,петух;{"title":"курица","genTitle":"курицы","female":"курица","male":"петух","otherTitles":"наседка","young":"цыпленок","genYoung":"цыпленка","savagery":"","class":"птица","numExtremities":"2","extremities":"ног","coating":"перья","wings":"да","fins":"","horns":"","hoof":"","penny":"","trunk":"","tusks":"","employment":"несет яйца и кудахчет"}
11;индюк,индюшка;{"title":"индюк","genTitle":"индюка","female":"индюшка","male":"индюк","otherTitles":"","young":"индюшонок","genYoung":"индюшонка","savagery":"домашнее","class":"птица","numExtremities":"2","extremities":"ног","coating":"перья","wings":"да","fins":"","horns":"","hoof":"","penny":"","trunk":"","tusks":"","employment":""}
