1;фрукт;{"title":"фрукт","acc":"","base":"фрукт*","type":"","sweetness":"","ingredient":""}
2;яблоко;{"title":"яблоко","acc":"","base":"яблок*","type":"фрукт","sweetness":"","ingredient":""}
3;банан;{"title":"банан","acc":"","base":"банан*","type":"ягода","sweetness":"","ingredient":""}
4;апельсин;{"title":"апельсин","acc":"","base":"апельсин*","type":"фрукт","sweetness":"","ingredient":""}
5;груша;{"title":"груша","acc":"","base":"груш*","type":"фрукт","sweetness":"","ingredient":""}
6;мандарин;{"title":"мандарин","acc":"","base":"мандарин*","type":"фрукт","sweetness":"","ingredient":""}
7;грейпфрут;{"title":"грейпфрут","acc":"","base":"грейпфрут*","type":"фрукт","sweetness":"","ingredient":""}
8;виноград;{"title":"виноград","acc":"","base":"виноград*","type":"фрукт","sweetness":"","ingredient":""}
9;инжир;{"title":"инжир","acc":"","base":"инжир*","type":"фрукт","sweetness":"","ingredient":""}
10;абрикос;{"title":"абрикос","acc":"","base":"абрикос*","type":"фрукт","sweetness":"","ingredient":""}
11;персик;{"title":"персик","acc":"","base":"персик*","type":"фрукт","sweetness":"","ingredient":""}
12;арбуз;{"title":"арбуз","acc":"","base":"арбуз*","type":"ягода","sweetness":"","ingredient":""}
13;дыня;{"title":"дыня","acc":"","base":"дын*","type":"фрукт","sweetness":"","ingredient":""}
14;лимон;{"title":"лимон","acc":"","base":"лимон*","type":"фрукт","sweetness":"","ingredient":""}
15;помело;{"title":"помело","acc":"","base":"помел*","type":"фрукт","sweetness":"","ingredient":""}
16;хурма;{"title":"хурма","acc":"","base":"хурм*","type":"фрукт","sweetness":"","ingredient":""}
17;ягода;{"title":"ягода","acc":"","base":"ягод*","type":"","sweetness":"","ingredient":""}
18;клубника;{"title":"клубника","acc":"","base":"клубник*","type":"ягода","sweetness":"","ingredient":""}
19;малина;{"title":"малина","acc":"","base":"малин*","type":"ягода","sweetness":"","ingredient":""}
20;смородина;{"title":"смородина","acc":"","base":"смород*","type":"ягода","sweetness":"","ingredient":""}
21;земляника;{"title":"земляника","acc":"","base":"земляник*","type":"ягода","sweetness":"","ingredient":""}
22;вишня;{"title":"вишня","acc":"","base":"вишн*","type":"ягода","sweetness":"","ingredient":""}
23;черешня;{"title":"черешня","acc":"","base":"черешн*","type":"ягода","sweetness":"","ingredient":""}
24;крыжовник;{"title":"крыжовник","acc":"","base":"крыжовник*","type":"ягода","sweetness":"","ingredient":""}
25;миндаль;{"title":"миндаль","acc":"","base":"миндал*","type":"орех","sweetness":"","ingredient":""}
26;грецкий орех;{"title":"грецкий орех","acc":"","base":"грецк* орех*","type":"","sweetness":"","ingredient":""}
27;арахис;{"title":"арахис","acc":"","base":"арахис*","type":"орех","sweetness":"","ingredient":""}
28;фундук;{"title":"фундук","acc":"","base":"фундук*","type":"орех","sweetness":"","ingredient":""}
29;пекан;{"title":"пекан","acc":"","base":"пекан*","type":"орех","sweetness":"","ingredient":""}
30;изюм;{"title":"изюм","acc":"","base":"изюм*","type":"сухофрукт","sweetness":"","ingredient":""}
31;курага;{"title":"курага","acc":"","base":"кураг*","type":"сухофрукт","sweetness":"","ingredient":""}
32;чернослив;{"title":"чернослив","acc":"","base":"чернослив*","type":"сухофрукт","sweetness":"","ingredient":""}
33;финик;{"title":"финик","acc":"","base":"финик*","type":"","sweetness":"","ingredient":""}
34;овощ;{"title":"овощ","acc":"","base":"овощ","type":"","sweetness":"","ingredient":""}
35;картошка;{"title":"картошка","acc":"","base":"картошк*","type":"овощ","sweetness":"","ingredient":""}
36;огурец;{"title":"огурец","acc":"","base":"огур*","type":"овощ","sweetness":"","ingredient":""}
37;помидор;{"title":"помидор","acc":"","base":"помидор*","type":"ягода","sweetness":"","ingredient":""}
38;лук;{"title":"лук","acc":"","base":"лук*","type":"овощ","sweetness":"","ingredient":""}
39;сельдерей;{"title":"сельдерей","acc":"","base":"сельдере*","type":"овощ","sweetness":"","ingredient":""}
40;морковь;{"title":"морковь","acc":"","base":"морков*","type":"овощ","sweetness":"","ingredient":""}
41;кабачок;{"title":"кабачок","acc":"","base":"кабач*","type":"овощ","sweetness":"","ingredient":""}
42;баклажан;{"title":"баклажан","acc":"","base":"баклажан*","type":"овощ","sweetness":"","ingredient":""}
43;патиссон;{"title":"патиссон","acc":"","base":"патиссон*","type":"овощ","sweetness":"","ingredient":""}
