1;бедный;{"word":"бедный","best":"богатый","possible":""}
2;ближний;{"word":"ближний","best":"","possible":"далёкий"}
3;близкий;{"word":"близкий","best":"далёкий","possible":""}
4;богатый;{"word":"богатый","best":"бедный","possible":""}
5;больной;{"word":"больной","best":"здоровый","possible":""}
6;большой;{"word":"большой","best":"маленький","possible":""}
7;быстрый;{"word":"быстрый","best":"медленный","possible":""}
8;верхний;{"word":"верхний","best":"нижний","possible":""}
9;весёлый;{"word":"весёлый","best":"грустный","possible":"печальный"}
10;взрослый;{"word":"взрослый","best":"детский","possible":""}
11;влажный;{"word":"влажный","best":"","possible":"сухой"}
12;внешний;{"word":"внешний","best":"внутренний","possible":""}
13;внутренний;{"word":"внутренний","best":"внешний","possible":""}
14;восточный;{"word":"восточный","best":"западный","possible":""}
15;вредный;{"word":"вредный","best":"полезный","possible":""}
16;высокий;{"word":"высокий","best":"низкий","possible":""}
17;выходной;{"word":"выходной","best":"будний","possible":""}
18;глупый;{"word":"глупый","best":"умный","possible":""}
19;голодный;{"word":"голодный","best":"сытый","possible":""}
20;голый;{"word":"голый","best":"одетый","possible":""}
21;горячий;{"word":"горячий","best":"холодный","possible":""}
22;громадный;{"word":"громадный","best":"","possible":"маленький"}
23;громкий;{"word":"громкий","best":"тихий","possible":""}
24;грузовой;{"word":"грузовой","best":"пассажирский","possible":""}
25;грустный;{"word":"грустный","best":"весёлый,радостный","possible":""}
26;грязный;{"word":"грязный","best":"чистый","possible":""}
27;далёкий;{"word":"далёкий","best":"близкий","possible":""}
28;дальний;{"word":"дальний","best":"","possible":"близкий"}
29;детский;{"word":"детский","best":"взрослый","possible":""}
30;дешёвый;{"word":"дешёвый","best":"дорогой","possible":""}
31;длинный;{"word":"длинный","best":"короткий","possible":""}
32;добрый;{"word":"добрый","best":"злой","possible":""}
33;долгий;{"word":"долгий","best":"","possible":"быстрый"}
34;домашний;{"word":"домашний","best":"дикий","possible":""}
35;дорогой;{"word":"дорогой","best":"дешёвый","possible":""}
36;дурной;{"word":"дурной","best":"","possible":"хороший"}
37;жаркий;{"word":"жаркий","best":"","possible":"холодный"}
38;женский;{"word":"женский","best":"мужской","possible":""}
39;жёсткий;{"word":"жёсткий","best":"","possible":"мягкий"}
40;задний;{"word":"задний","best":"передний","possible":""}
41;закрытый;{"word":"закрытый","best":"открытый","possible":""}
42;западный;{"word":"западный","best":"восточный","possible":""}
43;здоровый;{"word":"здоровый","best":"больной","possible":""}
44;зимний;{"word":"зимний","best":"летний","possible":""}
45;злой;{"word":"злой","best":"добрый","possible":""}
46;искусственный;{"word":"искусственный","best":"настоящий","possible":""}
47;короткий;{"word":"короткий","best":"длинный","possible":""}
48;кривой;{"word":"кривой","best":"прямой","possible":""}
49;крошечный;{"word":"крошечный","best":"","possible":"большой"}
50;крупный;{"word":"крупный","best":"мелкий","possible":"маленький"}
51;крутой;{"word":"крутой","best":"пологий","possible":""}
52;крытый;{"word":"крытый","best":"","possible":"открытый"}
53;левый;{"word":"левый","best":"правый","possible":""}
54;лёгкий;{"word":"лёгкий","best":"","possible":"сложный"}
55;ледяной;{"word":"ледяной","best":"","possible":"горячий"}
56;летний;{"word":"летний","best":"зимний","possible":""}
57;максимальный;{"word":"максимальный","best":"минимальный","possible":""}
58;маленький;{"word":"маленький","best":"большой","possible":""}
59;малый;{"word":"малый","best":"","possible":"большой"}
60;медленный;{"word":"медленный","best":"быстрый","possible":""}
61;мелкий;{"word":"мелкий","best":"крупный,глубокий","possible":""}
62;мёртвый;{"word":"мёртвый","best":"живой","possible":""}
63;минимальный;{"word":"минимальный","best":"максимальный","possible":""}
64;младший;{"word":"младший","best":"старший","possible":""}
65;мокрый;{"word":"мокрый","best":"сухой","possible":""}
66;молодой;{"word":"молодой","best":"старый","possible":""}
67;мощный;{"word":"мощный","best":"","possible":"слабый"}
