1;Бальмонт;{"firstName":"Константин","secondName":"Бальмонт","thirdName":"Дмитриевич","birthDate":"1867-06-15","deathDate":"1942-12-23","birthPlace":"в деревне Гумнищи, Шуйский уезд, Владимирская губерния, Российская империя","deathPlace":"в Нуази-ле-Гран, Франция","gender":"male"}
2;Блок;{"firstName":"Александр","secondName":"Блок","thirdName":"Александрович","birthDate":"1880-11-28","deathDate":"1921-08-07","birthPlace":"в Санкт-Петербурге, Российская империя","deathPlace":"в Петрограде, РСФСР","gender":"male"}
3;Брюсов;{"firstName":"Валерий","secondName":"Брюсов","thirdName":"Яковлевич","birthDate":"1873-12-13","deathDate":"1924-10-09","birthPlace":"в Москве, Российская империя","deathPlace":"в Москве, РСФСР","gender":"male"}
4;Бунин;{"firstName":"Иван","secondName":"Бунин","thirdName":"Алексеевич","birthDate":"1870-10-22","deathDate":"1953-11-08","birthPlace":"в Воронеже, Российская империя","deathPlace":"в Париже, Франция","gender":"male"}
5;Дрожжин;{"firstName":"Спиридон","secondName":"Дрожжин","thirdName":"Дмитриевич","birthDate":"1848-12-18","deathDate":"1930-12-24","birthPlace":"в деревне Низовка, Тверская губерния, Российская империя","deathPlace":"в Тверской области, РСФСР","gender":"male"}
6;Есенин;{"firstName":"Сергей","secondName":"Есенин","thirdName":"Александрович","birthDate":"1895-10-03","deathDate":"1925-12-28","birthPlace":"в селе Константиново, Рязанский уезд, Рязанская губерния, Российская империя","deathPlace":"в Ленинграде, СССР","gender":"male"}
7;Жуковский;{"firstName":"Василий","secondName":"Жуковский","thirdName":"Андреевич","birthDate":"1783-02-09","deathDate":"1852-04-24","birthPlace":"в селе Мишенское, Белёвский уезд, Тульская губерния, Российская империя","deathPlace":"в Баден-Бадене, Германская империя","gender":"male"}
8;Крылов;{"firstName":"Иван","secondName":"Крылов","thirdName":"Андреевич","birthDate":"1769-02-13","deathDate":"1844-11-21","birthPlace":"в Москве, Российская империя","deathPlace":"в Санкт-Петербурге, Российская империя","gender":"male"}
9;Кукольник;{"firstName":"Нестор","secondName":"Кукольник","thirdName":"Васильевич","birthDate":"1809-09-08","deathDate":"1868-12-20","birthPlace":"в Санкт-Петербурге, Российская империя","deathPlace":"в Таганроге, земля Войска Донского, Российская империя","gender":"male"}
10;Лермонтов;{"firstName":"Михаил","secondName":"Лермонтов","thirdName":"Юрьевич","birthDate":"1814-10-15","deathDate":"1841-07-27","birthPlace":"в Москве, Российская империя","deathPlace":"в Пятигорске, Кавказская область, Российская империя","gender":"male"}
11;Майков,Майкова;{"firstName":"Аполлон","secondName":"Майков","thirdName":"Николаевич","birthDate":"1821-06-04","deathDate":"1897-03-20","birthPlace":"в Москве, Российская империя","deathPlace":"в Санкт-Петербурге, Российская империя","gender":"male"}
12;Маршак;{"firstName":"Самуил","secondName":"Маршак","thirdName":"Яковлевич","birthDate":"1887-11-03","deathDate":"1964-07-04","birthPlace":"в Воронеже, Российская империя","deathPlace":"в Москве, РСФСР","gender":"male"}
13;Маяковский;{"firstName":"Владимир","secondName":"Маяковский","thirdName":"Владимирович","birthDate":"1893-07-19","deathDate":"1930-04-14","birthPlace":"в Багдати, Кутаисская губерния, Российская империя","deathPlace":"в Москве, РСФСР","gender":"male"}
14;Некрасов;{"firstName":"Николай","secondName":"Некрасов","thirdName":"Алексеевич","birthDate":"1821-12-10","deathDate":"1878-01-08","birthPlace":"в Немирове, Винницкий уезд, Подольская губерния, Российская империя","deathPlace":"в Санкт-Петербурге, Российская империя","gender":"male"}
15;Никитин;{"firstName":"Иван","secondName":"Никитин","thirdName":"Саввич","birthDate":"1824-10-03","deathDate":"1861-10-28","birthPlace":"в Воронеже, Российская империя","deathPlace":"в Воронеже, Российская империя","gender":"male"}
16;Плещеев;{"firstName":"Алексей","secondName":"Плещеев","thirdName":"Николаевич","birthDate":"1825-12-04","deathDate":"1893-10-08","birthPlace":"в Костроме, Российская империя","deathPlace":"в Париже, Франция","gender":"male"}
17;Пушкин;{"firstName":"Александр","secondName":"Пушкин","thirdName":"Сергеевич","birthDate":"1799-06-06","deathDate":"1837-02-10","birthPlace":"в Москве, Российская империя","deathPlace":"в Санкт-Петербурге, Российская империя","gender":"male"}
18;Суриков;{"firstName":"Иван","secondName":"Суриков","thirdName":"Захарович","birthDate":"1841-04-06","deathDate":"1880-05-06","birthPlace":"в деревне Новосёлово, Угличский уезд, Ярославская губерния, Российская империя","deathPlace":"в Москве, Российская империя","gender":"male"}
19;Тютчев;{"firstName":"Фёдор","secondName":"Тютчев","thirdName":"Иванович","birthDate":"1803-12-05","deathDate":"1873-07-27","birthPlace":"в селе Овстуг, Брянский уезд, Орловская губерния, Российская империя","deathPlace":"в Царском Селе, Санкт-Петербургская губерния, Российская империя","gender":"male"}
20;Фет;{"firstName":"Афанасий","secondName":"Фет","thirdName":"Афанасьевич","birthDate":"1820-12-05","deathDate":"1892-12-03","birthPlace":"в Усадьбе Новосёлки, Мценский уезд, Орловская губерния, Российская империя","deathPlace":"в Москве, Российская империя","gender":"male"}
21;Хармс;{"firstName":"Даниил","secondName":"Хармс","thirdName":"Иванович","birthDate":"1905-12-30","deathDate":"1942-02-02","birthPlace":"в Санкт-Петербурге, Российская империя","deathPlace":"в Ленинграде, РСФСР","gender":"male"}
22;Цветаева,Цветаевой,Цветаеву;{"firstName":"Марина","secondName":"Цветаева","thirdName":"Ивановна","birthDate":"1892-10-08","deathDate":"1941-08-31","birthPlace":"в Москве, Российская империя","deathPlace":"в Елабуге, Татарская АССР, РСФСР","gender":"female"}
23;Чёрный;{"firstName":"Саша","secondName":"Чёрный","thirdName":"","birthDate":"1880-10-13","deathDate":"1932-07-05","birthPlace":"в Одессе, Российская империя","deathPlace":"в Ле-Лаванду, Франция","gender":"male"}
