1;1;{"answer":"Травку щипал.","question":"Что делал слон, когда пришёл Наполеон?"}
2;2;{"answer":"Огурец.","question":"Без Окон, Без Дверей - Полна Горница Людей."}
3;3;{"answer":"Ножницы.","question":"Два кольца, два конца, а посередине гвоздик. Что это?"}
4;4;{"answer":"Пук.","question":""}
5;5;{"answer":"Ёлочка.","question":"Зимой и летом одним цветом. Что это?"}
6;6;{"answer":"Буква И.","question":"А и Б сидели на трубе. А упало, Б пропало - Кто остался на трубе?"}
7;7;{"answer":"Сковорода.","question":""}
8;8;{"answer":"Лампочка.","question":"Висит груша нельзя скушать. Что это?"}
9;9;{"answer":"Подушка.","question":"Четыре ушка и два брюшка. Что это?"}
10;10;{"answer":"Капуста.","question":"Сто одёжек и все без застёжек? Что это?"}
11;11;{"answer":"Человек.","question":"Кто ходит утром на четырёх ногах, днём - на двух, а вечером - на трёх?"}
12;12;{"answer":"Карандаш.","question":"Чёрный Ивашка, деревянная рубашка. Где он бывает, там след оставляет. Что это?"}
13;13;{"answer":"Человек на стуле.","question":"Две спины, одна голова, шесть ног - что это такое?"}
14;14;{"answer":"Страусы не летают.","question":"Летели три страуса. Охотник одного убил. Сколько страусов осталось?"}
15;15;{"answer":"Семь сов.","question":"Летела стая, совсем не большая. Сколько в ней было птиц - и каких?"}
16;16;{"answer":"Коньяк.","question":""}
17;17;{"answer":"Тапочки.","question":""}
18;18;{"answer":"Потолочный лампогрыз.","question":""}
19;19;{"answer":"Зайчик или кролик.","question":""}
20;20;{"answer":"Буква К.","question":"Что у коровы впереди, а у быка позади?"}
21;21;{"answer":"Ромашка.","question":"Стоит в саду кудряшка - белая рубашка, Сердечко золотое. Что это такое?"}
22;22;{"answer":"Малина.","question":"Бусы красные висят - Из кустов на нас глядят, Очень любят бусы эти - Дети, птицы и медведи."}
23;23;{"answer":"Гроза.","question":"Сперва блеск, За блеском - Треск!"}
24;24;{"answer":"Кузнечик.","question":"На лугу живёт скрипач, Носит фрак и ходит вскачь."}
25;25;{"answer":"Комар.","question":"Не зверь, не птица, носок как спица. Летит - пищит, сядет - молчит."}
26;26;{"answer":"Крапива.","question":"Ах, не трогайте меня. Обожгу и без огня! Что это такое?"}
27;27;{"answer":"Замок.","question":"Не лает, не кусает - а в дом не пускает. Что это?"}
28;28;{"answer":"Морковка.","question":"Сидит девица в темнице, а коса на улице. Что это?"}
29;29;{"answer":"Лук.","question":"Сидит дед, во сто шуб одет. Кто его раздевает, тот слёзы проливает. Что это?"}
