1;ABRD,АбрауДюрсо,Абрау-Дюрсо,Абрау Дюрсо,;{"symbol":"ABRD","name":"ПАО 'Абрау – Дюрсо'","marketCap":"18 620 034 960,00"}
2;AFKS,Система;{"symbol":"AFKS","name":"ПАО АФК 'Система'","marketCap":"117 102 750 000,00"}
3;AFLT,Аэрофлот,российские авиалинии;{"symbol":"AFLT","name":"ПАО 'Аэрофлот-российские авиалинии'","marketCap":"215 459 562 006,00"}
4;AKRN,Акрон;{"symbol":"AKRN","name":"ПАО 'Акрон'","marketCap":"126 425 546 000,00"}
5;ALBK,БестЭфБ,Бест Эффортс;{"symbol":"ALBK","name":"ПАО 'Бест Эффортс Банк'","marketCap":""}
6;ALNU,АЛРОСА-Нюр,АЛРОСА Нюрба;{"symbol":"ALNU","name":"ПАО 'АЛРОСА-Нюрба'","marketCap":"100 400 000 000,00"}
7;ALRS,АЛРОСА;{"symbol":"ALRS","name":"АК 'АЛРОСА' (ПАО)","marketCap":"641 635 805 685,60"}
8;AMEZ,АшинскийМЗ,Ашинский метзавод;{"symbol":"AMEZ","name":"ПАО 'Ашинский метзавод'","marketCap":"2 267 969 440,10"}
9;APTK,Аптеки36и6,Аптечная сеть 36;{"symbol":"APTK","name":"ПАО 'Аптечная сеть 36,6'","marketCap":"21 115 664 048,76"}
10;AQUA,РусАква,Русская Аквакультура;{"symbol":"AQUA","name":"ПАО 'Русская Аквакультура'","marketCap":"12 177 214 368,10"}
11;ARMD,Армада;{"symbol":"ARMD","name":"ПАО 'АРМАДА'","marketCap":"175 679 963,40"}
12;ARSA,Арсагера;{"symbol":"ARSA","name":"ПАО 'УК 'Арсагера'","marketCap":"382 595 039,85"}
13;ASSB,АстрЭнСб,Астраханская энергосбытовая;{"symbol":"ASSB","name":"ПАО 'Астраханская энергосбытовая компания'","marketCap":"366 828 636,97"}
14;AVAN,Авангрд;{"symbol":"AVAN","name":"ПАО АКБ 'АВАНГАРД'","marketCap":""}
15;AVAZ,АВТОВАЗ;{"symbol":"AVAZ","name":"ПАО 'АВТОВАЗ'","marketCap":"43 913 719 616,22"}
16;BANE,Башнефть,Баш нефть;{"symbol":"BANE","name":"ПАО АНК 'Башнефть'","marketCap":"366 363 599 742,00"}
17;BISV,БашИнСв,Башинформсвязь,Баш информ связь;{"symbol":"BISV","name":"ПАО 'Башинформсвязь'","marketCap":""}
18;BLNG,Белон;{"symbol":"BLNG","name":"ОАО 'Белон'","marketCap":"2 863 500 000,00"}
19;BRZL,БурЗолото,Бур Золото,Бурятзолото,Бурят золото;{"symbol":"BRZL","name":"ПАО 'Бурятзолото'","marketCap":"7 273 224 450,00"}
20;BSPB,БСП,Банк Санкт-Петербург;{"symbol":"BSPB","name":"ПАО 'Банк 'Санкт-Петербург'","marketCap":"24 702 934 800,00"}
21;CBOM,МКБ,МОСКОВСКИЙ КРЕДИТНЫЙ БАНК;{"symbol":"CBOM","name":"ПАО 'МОСКОВСКИЙ КРЕДИТНЫЙ БАНК'","marketCap":"107 601 972 656,20"}
22;CHEP,ЧТПЗ;{"symbol":"CHEP","name":"ПАО 'ЧТПЗ'","marketCap":"52 670 691 120,00"}
23;CHGZ,РН-ЗапСиб,ЗапСиб,Западная Сибирь;{"symbol":"CHGZ","name":"ПАО 'РН-Западная Сибирь'","marketCap":"936 999 700,00"}
24;CHKZ,ЧКПЗ;{"symbol":"CHKZ","name":"ПАО 'ЧКПЗ'","marketCap":""}
25;CHMF,СевСт,Северсталь,Север сталь;{"symbol":"CHMF","name":"ПАО 'Северсталь'","marketCap":"646 048 630 592,00"}
26;CHMK,ЧМК;{"symbol":"CHMK","name":"ПАО 'ЧМК'","marketCap":"11 888 988 400,00"}
27;CHZN,ЧЦЗ;{"symbol":"CHZN","name":"ПАО 'ЧЦЗ'","marketCap":"27 531 268 280,00"}
28;CLSB,ЧелябЭС,Челябэнергосбыт,Челяб энергосбыт;{"symbol":"CLSB","name":"ПАО 'Челябэнергосбыт'","marketCap":"1 085 949 045,25"}
29;CNTL,Телеграф,Центральный Телеграф;{"symbol":"CNTL","name":"ПАО 'Центральный Телеграф'","marketCap":"2 974 389 300,00"}
30;DASB,ДагСб,Дагестанская энергосбытовая;{"symbol":"DASB","name":"ПАО 'Дагестанская энергосбытовая компания'","marketCap":"1 159 205 403,84"}
31;DGBZ,Дорогбж,Дорогобуж;{"symbol":"DGBZ","name":"ПАО 'Дорогобуж'","marketCap":"31 515 813 360,00"}
32;DIOD,iЗаводДИОД,ДИОД;{"symbol":"DIOD","name":"ПАО 'ДИОД'","marketCap":"363 255 000,00"}
33;DIXY,ДИКСИ,ДИКСИ Групп;{"symbol":"DIXY","name":"ПАО 'ДИКСИ Групп'","marketCap":"26 933 525 000,00"}
34;DSKY,ДетскийМир,Детский мир;{"symbol":"DSKY","name":"ПАО 'Детский мир'","marketCap":"69 037 380 000,00"}
35;DVEC,ДЭК;{"symbol":"DVEC","name":"ПАО 'ДЭК'","marketCap":"7 612 613 649,37"}
36;DZRD,iДонскЗР,ДЗРД;{"symbol":"DZRD","name":"ОАО 'ДЗРД'","marketCap":"546 017 130,00"}
37;ELTZ,Электрцинк,Электроцинк;{"symbol":"ELTZ","name":"ОАО 'Электроцинк'","marketCap":"1 020 931 916,00"}
38;ENRU,ЭнелРос,Энел Россия;{"symbol":"ENRU","name":"ПАО 'Энел Россия'","marketCap":"40 253 220 345,06"}
39;EPLN,Европлан;{"symbol":"EPLN","name":"ПАО 'Европлан'","marketCap":"87 189 114 771,00"}
40;ERCO,ЭРКО;{"symbol":"ERCO","name":"ОАО 'ЭРКО'","marketCap":""}
